text ID,Sentiment assessment,GPEs
8476,[],[]
10294,"[(['exact'], 0.25, 0.25, None), (['political'], 0.0, 0.1, None)]",[]
10142,"[(['anger', '!'], -0.875, 0.2, None)]",[]
6903,[],"['Tehran', 'USA']"
7341,"[(['left'], 0.0, 0.0, None)]",[]
7041,"[(['strong'], 0.4333333333333333, 0.7333333333333333, None)]",[]
7623,[],[]
7737,"[(['shocking', '!'], -1.0, 1.0, None)]",[]
8716,"[(['huge'], 0.4000000000000001, 0.9, None), (['trouble'], -0.2, 0.2, None), (['sick'], -0.7142857142857143, 0.8571428571428571, None), (['hidden'], -0.16666666666666666, 0.3333333333333333, None)]",[]
10348,"[(['special'], 0.35714285714285715, 0.5714285714285714, None)]",[]
6155,[],[]
5743,"[(['military'], -0.1, 0.1, None), (['advanced'], 0.4, 0.6, None)]",[]
7808,"[(['artificial'], -0.6, 1.0, None)]",[]
6484,"[(['necessary'], 0.0, 1.0, None)]",[]
7385,[],"['UK', 'Russia']"
9016,"[(['near'], 0.1, 0.4, None)]",[]
9324,[],[]
8983,"[(['first'], 0.25, 0.3333333333333333, None)]",[]
8965,"[(['other', '!'], -0.15625, 0.375, None)]",[]
5580,[],[]
9757,"[(['wants'], 0.2, 0.1, None), (['foreign'], -0.125, 0.125, None)]",[]
5955,"[(['real', '!'], 0.25, 0.30000000000000004, None), (['secret'], -0.4, 0.7, None), (['alien'], -0.25, 0.75, None), (['base'], -0.8, 1.0, None)]",[]
7455,"[(['violent'], -0.8, 1.0, None)]",[]
7793,"[(['significant'], 0.375, 0.875, None)]",[]
9403,[],[]
5931,"[(['white'], 0.0, 0.0, None)]",[]
5937,"[(['individual'], 0.0, 0.4, None)]",[]
7277,"[(['urban'], 0.0, 0.0, None)]",[]
5521,"[(['new'], 0.13636363636363635, 0.45454545454545453, None)]",[]
9360,[],[]
6646,[],[]
7540,"[(['such'], 0.0, 0.5, None)]",['Detroit']
8212,"[(['relative'], 0.0, 0.0, None)]",[]
6197,[],[]
6061,[],[]
9545,[],[]
7744,[],[]
8177,[],[]
7049,"[(['final'], 0.0, 1.0, None)]",[]
7801,"[(['most'], 0.5, 0.5, None), (['mysterious'], 0.0, 1.0, None)]",[]
10232,"[(['silent'], 0.0, 0.1, None), (['crooked'], 0.0, 0.1, None)]",[]
8290,"[(['old'], 0.1, 0.2, None)]",[]
6227,[],[]
5316,"[(['newly'], 0.13636363636363635, 0.45454545454545453, None), (['potential'], 0.0, 1.0, None), (['human'], 0.0, 0.1, None)]",[]
5530,[],[]
7680,[],[]
10490,"[(['amazing'], 0.6000000000000001, 0.9, None)]",[]
9413,"[(['amazing'], 0.6000000000000001, 0.9, None), (['natural'], 0.1, 0.4, None), (['deep'], 0.0, 0.4, None)]",[]
8685,[],[]
6763,[],"['Russia', 'USA']"
7730,"[(['win'], 0.8, 0.4, None)]",[]
7362,"[(['wins'], 0.3, 0.2, None)]",[]
7513,"[(['unlikely'], -0.5, 0.5, None)]",[]
6247,[],[]
