text ID,Sentiment assessment,GPEs
3608,[],['Paris']
875,"[(['new'], 0.13636363636363635, 0.45454545454545453, None), (['primary'], 0.4, 0.5, None)]",[]
95,[],['Britain']
4869,[],[]
2909,"[(['new'], 0.13636363636363635, 0.45454545454545453, None)]",['Iran']
1357,[],['Iowa']
988,"[(['shockingly', 'weak'], -0.375, 0.625, None), (['game'], -0.4, 0.4, None), (['worse'], -0.4, 0.6, None)]",[]
1571,"[(['lightly'], 0.4, 0.7, None)]",[]
4739,"[(['differently'], 0.0, 0.6, None)]",[]
3304,[],['Iran']
3078,[],['America']
2517,[],[]
778,[],[]
3300,"[(['new'], 0.13636363636363635, 0.45454545454545453, None), (['main'], 0.16666666666666666, 0.3333333333333333, None), (['scary'], -0.5, 1.0, None)]",[]
636,[],[]
755,[],['W. Va.']
626,[],[]
691,"[(['pure'], 0.21428571428571427, 0.5, None), (['offers'], 0.1, 0.0, None), (['terrible'], -1.0, 1.0, None)]",[]
1787,"[(['crushed'], -0.1, 0.1, None)]",[]
1967,[],[]
431,"[(['first'], 0.25, 0.3333333333333333, None)]",[]
5224,[],[]
2777,"[(['right'], 0.2857142857142857, 0.5357142857142857, None), (['tough'], -0.3888888888888889, 0.8333333333333334, None)]",['Afghanistan']
587,[],[]
3027,"[(['american'], 0.0, 0.0, None)]",[]
4377,"[(['free'], 0.4, 0.8, None)]",[]
3627,[],[]
909,"[(['closed'], -0.1, 0.1, None)]",[]
1522,"[(['tremendous'], 0.3333333333333333, 1.0, None)]",[]
1834,"[(['political'], 0.0, 0.1, None)]",[]
1775,[],[]
3363,"[(['criminal'], -0.4, 0.55, None)]",[]
1084,[],[]
4410,"[(['first'], 0.25, 0.3333333333333333, None)]",[]
2669,"[(['funny'], 0.25, 1.0, None)]",[]
3648,[],['Orlando']
596,[],[]
1569,[],[]
1178,"[(['poor'], -0.4, 0.6, None), (['big'], 0.0, 0.1, None), (['political'], 0.0, 0.1, None)]",['South Carolina']
1506,[],[]
1641,"[(['new'], 0.13636363636363635, 0.45454545454545453, None)]",[]
139,[],[]
4134,[],[]
917,"[(['new'], 0.13636363636363635, 0.45454545454545453, None), (['primary'], 0.4, 0.5, None)]",[]
3854,[],[]
3343,"[(['responsible'], 0.2, 0.55, None)]",[]
4348,[],[]
3424,[],[]
1718,[],[]
143,"[(['love'], 0.5, 0.6, None)]","['Selma', 'America']"
930,[],[]
1661,[],[]
1360,[],[]
3635,"[(['french'], 0.0, 0.0, None)]",[]
3255,"[(['social'], 0.03333333333333333, 0.06666666666666667, None)]",[]
3177,[],[]
2832,"[(['no', 'complete'], -0.05, 0.4, None)]",['Iraq']
4294,[],[]
1524,"[(['critical'], 0.0, 0.8, None)]",[]
2974,"[(['latest'], 0.5, 0.9, None), (['enough'], 0.0, 0.5, None)]",[]
3364,"[(['independent'], 0.0, 0.125, None)]",[]
4933,[],[]
4880,[],[]
3512,[],['Belgium']
2546,[],['San Francisco']
2596,[],[]
1475,[],[]
2232,[],['US']
127,[],[]
4979,[],[]
1700,[],"['Rubio', 'Kasich']"
4500,[],[]
2199,[],['Syria']
4943,"[(['win'], 0.8, 0.4, None)]",['US']
2115,"[(['next'], 0.0, 0.0, None), (['big'], 0.0, 0.1, None)]",[]
4597,[],[]
677,[],[]
3004,[],['Iran']
172,[],[]
5202,[],[]
2802,[],[]
1329,[],[]
4114,[],[]
4354,"[(['super'], 0.3333333333333333, 0.6666666666666666, None), (['early'], 0.1, 0.3, None)]",[]
3138,"[(['more'], 0.5, 0.5, None), (['religious'], 0.0, 0.25, None)]",['US']
421,"[(['significantly'], 0.375, 0.875, None)]",[]
2850,[],['Iran']
51,"[(['vast'], 0.0, 1.0, None)]",[]
186,[],[]
3700,[],['Charleston']
5040,[],[]
2305,"[(['first'], 0.25, 0.3333333333333333, None)]",['Connecticut']
2228,"[(['foreign'], -0.125, 0.125, None)]",[]
3008,"[(['new'], 0.13636363636363635, 0.45454545454545453, None)]",['Iran']
3872,[],[]
1884,"[(['right'], 0.2857142857142857, 0.5357142857142857, None), (['right'], 0.2857142857142857, 0.5357142857142857, None)]",[]
4239,"[(['winning'], 0.5, 0.75, None), (['big'], 0.0, 0.1, None), (['big'], 0.0, 0.1, None)]",[]
3282,[],[]
4532,[],[]
4130,"[(['not', 'guilty'], 0.25, 1.0, None)]",[]
599,"[(['no', 'legal'], -0.1, 0.2, None)]",['Ohio']
4577,"[(['colossal'], 0.3, 0.8, None), (['failure'], -0.3166666666666667, 0.3, None), (['terrifying'], -1.0, 1.0, None), (['new'], 0.13636363636363635, 0.45454545454545453, None)]",[]
1934,[],[]
5075,[],[]
2076,"[(['historic'], 0.0, 0.0, None), (['final'], 0.0, 1.0, None)]",[]
4714,"[(['corrupt'], -0.5, 1.0, None), (['more'], 0.5, 0.5, None), (['sexual'], 0.5, 0.8333333333333334, None)]",[]
4911,[],[]
2834,[],"['Iraq', 'Anbar']"
2281,"[(['gay'], 0.4166666666666667, 0.5833333333333334, None)]",[]
1938,"[(['foreign'], -0.125, 0.125, None), (['more'], 0.5, 0.5, None), (['military'], -0.1, 0.1, None)]",[]
1255,"[(['least'], -0.3, 0.4, None)]",[]
4618,[],[]
3602,"[(['potential'], 0.0, 1.0, None)]",[]
384,[],[]
4492,"[(['ready'], 0.2, 0.5, None)]",[]
2432,[],[]
2916,[],['Iran']
4713,[],[]
4217,[],[]
1770,"[(['super'], 0.3333333333333333, 0.6666666666666666, None)]",[]
3427,[],[]
658,"[(['win'], 0.8, 0.4, None)]",[]
4865,"[(['new'], 0.13636363636363635, 0.45454545454545453, None)]",['US']
4031,"[(['missing'], -0.2, 0.05, None), (['next'], 0.0, 0.0, None)]",[]
2586,[],"['Israel', 'US']"
4045,"[(['simple'], 0.0, 0.35714285714285715, None), (['top'], 0.5, 0.5, None)]","['America', 'Russia', 'US', 'America']"
4632,[],[]
71,[],['LGBT']
1108,[],[]
4701,"[(['new'], 0.13636363636363635, 0.45454545454545453, None)]",['New Responses']
4929,[],['Mexico']
667,"[(['actually', '!'], 0.0, 0.1, None)]",[]
3382,[],[]
5199,"[(['daily'], 0.0, 0.0, None), (['many'], 0.5, 0.5, None), (['african'], 0.0, 0.0, None)]",[]
1809,"[(['recent'], 0.0, 0.25, None)]",[]
2812,[],['Iran']
4666,[],[]
4808,"[(['really'], 0.2, 0.2, None)]",[]
4411,"[(['right'], 0.2857142857142857, 0.5357142857142857, None), (['failed'], -0.5, 0.3, None)]",[]
1754,"[(['win'], 0.8, 0.4, None)]",[]
854,[],[]
3137,"[(['new'], 0.13636363636363635, 0.45454545454545453, None)]",[]
2010,[],[]
1109,[],['Chicago']
3592,[],['France']
3147,"[(['gay'], 0.4166666666666667, 0.5833333333333334, None), (['religious'], 0.0, 0.25, None)]",[]
4318,[],[]
1905,"[(['true'], 0.35, 0.65, None)]",[]
4051,[],[]
3852,"[(['disappointment'], -0.6, 0.4, None)]",[]
205,[],[]
